title,description,employer,link,tags,source,date,locations
مدیر مهندسی - آقا,"-تدوین اهداف و برنامه کیفیت واحد فنی مهندسی و پیشنهاد آن به مدیریت ارشد-تهیه دستورالعمل‌ها و روش‌های اجرایی مرتبط-همکاری در تعیین فرایندهای مرتبط با فنی مهندسی-نظارت بر کنترل اسناد فنی و الزامات قانونی مرتبط با محصول و خدمات-نظارت بر تدوین یا بازنگری نقشه‌های فنی مهندسی-برگزاری جلسه با مشتری جهت شفاف‌سازی الزامات مشتری-تدوین برنامه زمان‌بندی جهت طراحی و توسعه محصولات جدید-تدوین طرح کیفیت محصول-تسلط بر نرم‌افزار SolidWorks, Excel, CAD, MAP-تسلط بر ابزارهای مهندسی کیفیت نظیر FMEA, QFD, MSA, SPC-تحصیلات کارشناسی یا کارشناسی ارشد مهندسی مکانیک",صنایع الکترونیکی صوت ماستر,https://jobvision.ir/jobs/696119/استخدام-مدیر-مهندسی---آقا?row=332&pageSize=30&searchId=384999731861758928&score=3.99&ReferrerJobPosition=8,,jobvision,امروز,جاجرود
فروشنده,به یک فروشنده، با سابقه کاری در فروش لوازم جانبی موبایل نیازمندیمشرایط عمومی:* دارای سابقه کار فروش حضوری* تسلط به الگوریتم های به روز شبکه های مجازی و اینستاگرام و ترفندهای آن، کپشن و هشتگ گذاری اصولی* موقعیت مکانی سعادت اباد / اپال* ادمین اینستاگرام ( انجام استوری ، پست ، عکاسی از محصول و پاسخگویی به دایرکت )خصوصیات فردی:* پیگیری مستمر * منظم و وقت شناس * آشنا و علاقه مند به دانش فنی محصولات ساعت هوشمند و لوازم جانبی * عدم اعتیاد به هرگونه مواد مخدر. مزایا:* پورسانت,اسمارت رز,https://jobvision.ir/jobs/706768/استخدام-فروشنده?row=333&pageSize=30&searchId=384999731861758928&score=3.87&ReferrerJobPosition=8,,jobvision,امروز,تهران، سعادت آباد
سرپرست فروش مویرگی - آقا,شرایط احراز:دارای سابقه کار در صنعت پخش مواد غذایی- توانمند در تدوین و برنامه ریزی و ارائه برنامه استراتژیک فروش مویرگی- توانایی شناخت بازار- تسلط کامل به مذاکره و مباحث مرتبط فروش- آشنایی با تکنیک و فنون فروش و بازاریابی- روابط عمومی بالا- متعهد، مسئولیت پذیر و منظم,به روز رسان,https://jobvision.ir/jobs/614496/استخدام-سرپرست-فروش-مویرگی---آقا?row=334&pageSize=30&searchId=384999731861758928&score=3.8&ReferrerJobPosition=8,,jobvision,امروز,تهران، تهرانپارس
کارشناس فروش (حوزه مهاجرت),شرایط احراز شغل:تسلط و تخصص عالی در زمینه ارائه مشاوره و فروش ویزاهای کانادا (تحصیلی/ توریستی / کاری)مهارت مذاکره و متقاعدسازی کلاینت بصورت حضوری و آنلاین در سطح عالیتوانایی بالا در جذب مشتریان و فروش بالاتوانایی عقد قرارداد بر اساس تارگت هفتگی و ماهانهتسلط کافی به زبان انگلیسی امتیاز محسوب می شود.شرایط عمومی:فارغ التحصیل مقطع کارشناسی در رشته‌های موثر و از دانشگاه‌های ممتاز داخلی و خارجیمهارت‌های کلامی و رفتاری ممتازسوابق شغلی معتبر و قابل ردگیریدارا بودن روحیه همدلی و یادگیری مداومنتیجه گرا- راه حل محور و قادر به تحمل استرس در محیط کارپرانرژی- بی حاشیه- وقت شناس و مبادی آدابعلاقمند به یادگیری، پیشرفت حرفه‌ایی، توسعه مهارت فردی و تخصصیدارای شایستگی رازداری و رعایت اصول محرمانگی بطور کاملا جدیپیشنهاد ما به متقاضیان واجد شرایط حقوق ثابت + پورسانت فروشاین شغل مناسب چه افرادی نیستدانشجویان یا کسانی که شغلشان اولویت اولشان نیست.محل شرکت: عباس آباد,موسسه ایران کانادا,https://jobvision.ir/jobs/731368/استخدام-کارشناس-فروش-حوزه-مهاجرت?row=335&pageSize=30&searchId=384999731861758928&score=3.79&ReferrerJobPosition=8,,jobvision,امروز,تهران، عباس آباد (بهشتی)
مهندس صنایع - آقا,برنامه ریزی تولید و انبارآشنا به فرایند نویسی و سیستم سازیبهینه سازی مصرف مواد اولیهمسلط به اکسلانبار واقع در شهرک صنعتی صفادشت است لطفا افراد نزدیک به موقعیت رزومه ارسال کنند,گروه بازرگانی پلاس,https://jobvision.ir/jobs/691428/استخدام-مهندس-صنایع---آقا?row=336&pageSize=30&searchId=384999731861758928&score=3.76&ReferrerJobPosition=8,,jobvision,امروز,صفادشت
کارشناس فروش تلفنی,مشاوره تلفنی و ثبت سفارش برای مشتریانثبت اطلاعات مشتریان و انجام امور پشتیبانی مشتریتماس با درخواست‌های ثبت شده و توضیح ویژگی‌های محصولشرایط مهمآشنایی با اصول و فنون فروش تلفنیآشنایی با برنامه های آفیس و گوگل شیتتسلط بر انجام مذاکرات و برقراری ارتباطات موثرتوانایی کنترل خشم و استرسرعایت نظم و انضباط کاریداشتن لپتاپ یا سیستم کامپیوتر الزامی استکار به صورت حضوری است . در دفتر تهران، منطقه سید خندان,بستنی خشک اکسیر,https://jobvision.ir/jobs/726370/استخدام-کارشناس-فروش-تلفنی?row=337&pageSize=30&searchId=384999731861758928&score=3.72&ReferrerJobPosition=8,,jobvision,امروز,تهران، سیدخندان
کارشناس تولید محتوای شبکه های اجتماعی ( استوری ),"ما در اکسیر، به دنبال همکاری هستیمکه تبحر ویژه ای در ساخت محتوا برای استوری ها روزمره پیج داشته باشه!- آیا میتونی برنامه ریزی کنی و یک تقویم محتوایی هفتگی دربیاری ؟- آیا میتونی از اتفاقات رومزه یک داستان جذاب تعریف کنی تا مخاطب رو جذب کنه؟- و آیا میتونی در پایان روایت داستانت، مخاطب رو ترغیب به خرید کنی و بهش بفروشی ؟اگر جوابت به هر 3 سوال "" بله "" بودبرای این کار تو بهترین شخص هستیخوشحال میشیم به جمعمون اضافه شیچند مورد از کارها:- ساخت محتوای روزانه استوری ها- ایده پردازی برای محتوا استوری و پست- ارتباط با پیج ها تبلیغاتی و اینفلوئنسر هاخصوصیات مهم :- پر انرژی- لبخند بر لب- ذهن ایده پرداز- آشنا به ترند روز اینستاگرامشرایط لازم:آشنا به اکسل برای واردن کردن دیتامهارت در عکاسی و فیلمبرداری با گوشی",بستنی خشک اکسیر,https://jobvision.ir/jobs/724679/استخدام-کارشناس-تولید-محتوای-شبکه-های-اجتماعی--استوری-?row=338&pageSize=30&searchId=384999731861758928&score=3.7&ReferrerJobPosition=8,,jobvision,امروز,تهران، سیدخندان
کارشناس برنامه ریزی و سیستم ها - آقا,شرح وظایف:تدوین مستندات سیستم مدیریت، آیین نامه ها، روش های اجرایی، فرآیندها و فرم های مورد نیاز سازمانکنترل مستندات و نظارت بر جاری سازی در سازمان و دقت نظر در به روزآوری و نگهداشت آن.تدوین شاخص­های عملکردی، تجزیه و تحلیل نتایجشرایط احراز:آشنایی با برنامه ریزی استراتژیکآشنایی با اصول مدیریت ریسکتسلط بر استانداردها و سیستم های مدیریت کیفیت(ISO9001) و سیستم مدیریت ایمنی و بهداشت شغلی (ISO45001)آشنایی با اصول ممیزی سیستم‌های مدیریتیتسلط کار با نرم افزارهای Officeامکان انجام ماموریت خارج از تهران,گلپخش اول,https://jobvision.ir/jobs/718259/استخدام-کارشناس-برنامه-ریزی-و-سیستم-ها---آقا?row=339&pageSize=30&searchId=384999731861758928&score=3.6&ReferrerJobPosition=8,,jobvision,امروز,تهران، ونک
کارشناس پشتیبانی فروش,تمامی موارد ذیل جزء الزامات همکاری می باشد:- دارای قدرت کلام و فن بیان قوی- دارای مهارت لازم جهت ایجاد ارتباط با مشتریان و حل مشکلات - منظم و پیگیری - دارای حافظه قوی- دارای اعتماد به نفس بالا- مسئول و متعهد,شرکت طلوع تجارت آسایش,https://jobvision.ir/jobs/704867/استخدام-کارشناس-پشتیبانی-فروش?row=340&pageSize=30&searchId=384999731861758928&score=3.58&ReferrerJobPosition=8,,jobvision,امروز,تهران، آبشار
کارشناس فروش (تجهیزات),"استخدام یک نفر کارشناس فروش با شرایط احراز ذیل در شرکت دانش بنیان فن آوری نوین نیرو:لیسانس مکانیک از دانشگاه‌های معتبر دولتیحداقل 5 سال سابقهمسلط به اصول بازاریابی و فروشمتعهد، منظم، مسئولیت‌پذیر و علاقه‌مند به یادگیریآشنا با تجهیزات و دستگاه‌های صنعتیفن بیان و توانایی مذاکره با مشتریان "" عدم اشتغال به تحصیل و داشتن کارت پایان خدمت الزامیست""",فن آوری نوین نیرو,https://jobvision.ir/jobs/721651/استخدام-کارشناس-فروش-تجهیزات?row=341&pageSize=30&searchId=384999731861758928&score=3.55&ReferrerJobPosition=8,,jobvision,امروز,تهران، شهرک غرب
بازاریاب مویرگی,شرکت جاوید تجارت تارا ایرانیان (نمایندگی زعفران بهرامن) جهت پخش مویرگی، 4 نفر بازاریاب دارای سابقه و با تجربه استخدام می‌نماید.1- سابقه در پخش مویرگی مواد غذایی الزامی است.2- حقوق ثابت3- بیمه تامین اجتماعی4- پورسانت خوب,بیزیار,https://jobvision.ir/jobs/735588/استخدام-بازاریاب-مویرگی?row=342&pageSize=30&searchId=384999731861758928&score=3.51&ReferrerJobPosition=8,,jobvision,امروز,تهران، ستارخان
مهندسی فروش,شرح وظایف:ارائه گزارشات روزانه به صورت هفتگی و ماهانهبودجه بندیرصد عملکرد سیستم فروشتحلیل کیفی و کمی فروششرایط احراز:تسلط کامل به Officeشناخت و آشنایی کلی نسبت به بازار و فروشTeamWork,گلپخش اول,https://jobvision.ir/jobs/731014/استخدام-مهندسی-فروش?row=343&pageSize=30&searchId=384999731861758928&score=3.5&ReferrerJobPosition=8,,jobvision,امروز,تهران، ونک
کارشناس فروش,تولیدی یلقی YEL KIDS توی 4 سال از صفر رسیده به 50 تا پرسنل!سرعت ما اونقدر زیاده که فقط میشه گفت کار خداست!توی تیم خودمون یک فروشنده حرفه ای کم داریم.یک فروشنده حرفه ای!یکی که قبل از هرکسی، اول به خودش و ارزش هاش احترام میذاره!یکی که عاشق شنیدن مشتری به جای حرف زدن. یکی که توی فروختن، دنبال کمک کردنه.یک فروشنده ای که خیلی جاها نمیفروشه...!اگه فک میکنی این ویژگی ها رو داری و میتونی پا به پای ما بیای، اینجا درامد برات هیچ سقفی نداره... چون باورمون همیشه اینه که برنده-برنده معامله کنیم...,تولیدی پوشاک بچه گانه یلقی,https://jobvision.ir/jobs/710559/استخدام-کارشناس-فروش?row=344&pageSize=30&searchId=384999731861758928&score=3.5&ReferrerJobPosition=8,,jobvision,امروز,گرگان
کارشناس فروش حضوری قطعات,شرکت بین المللی رونیکس معتبر در زمینه ابزار آلات صنعتی جهت تکمیل کادر خود در استان مازندران از کارشناس فروش حضوری - قطعات با شرایط زیر دعوت به همکاری می‌نمایدشرایط احراز: جهت فروش قطعات به صورت منطقه ای در استان مازندرانتحصیلات: دیپلم و بالاترفعالیت‌های شغلی: انجام تور ویزیت و ثبت درخواست مشتریان به صورت حضوریحضور در بازار به منظور ارتباط با مشتریان به منظور خرید از قطعات شرکتتوانایی رفتن به ماموریتدانش تخصصی و مهارت‌های مورد نیاز: توانایی ارائه گزارشات کاری، توانایی برقراری ارتباط موثر با مشتریان سازمان.,رونیکس,https://jobvision.ir/jobs/698172/استخدام-کارشناس-فروش-حضوری-قطعات?row=345&pageSize=30&searchId=384999731861758928&score=3.46&ReferrerJobPosition=8,,jobvision,امروز,ساری
کارشناس مرکز تماس (Call Center),"شرح موقعیت شغلیشرکت همتا صنعت ویرا با برند لوازم خانگی بلانتون جهت تکمیل کادر پرسنلی خود اقدام به جذب نیرو می نماید.کارشناس مرکز تماسترجیحا آشنا به نرم افزار سروشانآشنا به امور پشتیبانی لوازم خانگیآشنا به امور پشتیبانی و مرکز تماسمسلط به نرم‌افزارهای آفیس (word, excel)توانایی ایجاد اعتماد در مشتریان و جذب مشتریبرقراری ارتباط حرفه‌ای و موثر با مشتریانتماس روزانه با مشتریانتوانایی کار با CRM و گزارش فعالیت‌های خود در پایان هر روز، هفته، ماه و سالشرکت در جلسات فروش و ایده پردازی برای محصولات و خدمات جدید.شرکت واقع در شریعتی بالاتر از دوراهی قلهک می باشد.",همتا صنعت ویرا,https://jobvision.ir/jobs/711884/استخدام-کارشناس-مرکز-تماس-call-center?row=346&pageSize=30&searchId=384999731861758928&score=3.45&ReferrerJobPosition=8,,jobvision,امروز,تهران، قلهک
کارشناس حسابداری,استخدام کارشناس حسابداریوظایف:جمع‌آوری، ضبط و تجزیه و تحلیل استاد حسابداری و ثبت آن‌هاکنترل تنخواه ستاد و شعبآشنایی با امور بانکی و خزانه‌داریتوانایی تهیه گزارشات فصلی و اظهارنامه مالیاتی و عوارض ارزش افزودهتوانایی تهیه لیست‌های حقوقی به منظور ارائه به سازمان تامین اجتماعیانجام سایر امور در چهارچوب مسئولیت‌های تعیین شده از طرف مدیر مالیشرایط:سابقه در گروه شغلی مشابه آشنایی با Excelآشنایی با نرم‌افزار سپیدار مزیت محسوب می‌گردد,ماهان بازرگانی,https://jobvision.ir/jobs/699092/استخدام-کارشناس-حسابداری?row=347&pageSize=30&searchId=384999731861758928&score=3.37&ReferrerJobPosition=8,,jobvision,امروز,تهران، جردن
کارشناس فروش حضوری (لوازم جانبی موبایل),شرایط پذیرشتوانایی مذاکره، پیگیری و ارتباط موثرمسلط به تکنیک های فروشتوانایی برنامه ریزی، هدف گذاری و ارائه گزارشروابط عمومی بالابا انگیزه، خلاق و مسئولیت پذیرمسلط به مجموعه های آفیس به صورت مقدماتی (اکسل، ورد و پاورپوینت)آشنایی با گجت های هوشمندسایر مزایاحقوق از روز اولپتانسیل بسیار بالای کارپرداخت حقوق و پورسانت ابتدای هر ماه و بدون تاخیرنیرو کاملا رایگان آموزش داده می شود,اسمارت رز,https://jobvision.ir/jobs/701196/استخدام-کارشناس-فروش-حضوری-لوازم-جانبی-موبایل?row=348&pageSize=30&searchId=384999731861758928&score=3.26&ReferrerJobPosition=8,,jobvision,امروز,تهران، میرداماد
فروشنده مویرگی,شرح وظایف:ویزیت روزانه طبق برنامه ریزی و مسیربندی انجام شدهپیگیری مداوم صورت حساب صادرهارائه گزارش روزانهشرایط احراز:آشنایی با فنون مذاکرهمسئولیت پذیرعلاقه به کارتیمیحداقل مدرک دیپلم,گلپخش اول,https://jobvision.ir/jobs/535447/استخدام-فروشنده-مویرگی?row=349&pageSize=30&searchId=384999731861758928&score=3.25&ReferrerJobPosition=8,,jobvision,امروز,تهران، ونک
حسابدار فروش,مسلط به صدور حواله و فاکتور فروش ، سند مالی فروش و انبار، تهیه حساب مشتری و تطبیق حساب ، وصول مطالبات ، تهیه گزارشات مربوطه ، سامانه مودیان ،معاملات فصلی ، مسلط به اکسل,شرکت بنیان پوشش کاسپین,https://jobvision.ir/jobs/698698/استخدام-حسابدار-فروش?row=350&pageSize=30&searchId=384999731861758928&score=3.22&ReferrerJobPosition=8,,jobvision,امروز,تهران، جردن
حسابدار,حسابدار مسلط به نرم افزار سپیدار و هلو به صورت تمام وقت در شرکت بازرگانی ( وارد کننده ),خاورچای نوش,https://jobvision.ir/jobs/722447/استخدام-حسابدار?row=351&pageSize=30&searchId=384999731861758928&score=3.2&ReferrerJobPosition=8,,jobvision,امروز,تهران، سنگلج
کارشناس کنترل کیفی - آقا,مهارت ها:علاقمند به کار صنعتیعلاقمند به یادگیریمحل کار : شهرک صنعتی سجزی,کیمیا کاغذ نقش جهان,https://jobvision.ir/jobs/721856/استخدام-کارشناس-کنترل-کیفی---آقا?row=352&pageSize=30&searchId=384999731861758928&score=3.09&ReferrerJobPosition=8,,jobvision,امروز,اصفهان
کارشناس برنامه ریزی و سیستم ها - آقا,شرایط احراز:مدرک تحصیلی: کارشناسیرشته تحصیلی: مهندسی صنایع/ مدیریت سابقه کار مرتبط: حداقل2 سالترجیحاً بومی استان یزدتوانایی کار به صورت اقماری، اضافه کاری و نوبت کاریشرح مسئولیت ها:تهیه گزارشات و شاخص های واحد های مربوطه به منظور ارائه به مدیران ارشدتهیه گزارشات صورت وضعیت و تعدیل هاگزارش دهی در جهت رسیدن به اهداف و دور شدن از انحراف برنامهمشارکت در تهیه برنامه جامع سالیانه واحد هامهارت ها و شایستگی های مورد نیاز:دارای سابقه کار مرتبط با برنامه ریزی تولید و نتمسلط به نرم افزار Officeسرعت عمل بالا در تهیه گزارشاتدارای روحیه کار تیمیدارای روابط عمومی بالا,شرکت راهبر فرآیند آریا,https://jobvision.ir/jobs/735950/استخدام-کارشناس-برنامه-ریزی-و-سیستم-ها---آقا?row=353&pageSize=30&searchId=384999731861758928&score=3.05&ReferrerJobPosition=8,,jobvision,امروز,یزد
کارشناس فروش تلفنی - خانم,پاسخگویی به مشتریانخدمات پیش/ پیش از فروش (تلفن/ ایمیل)قابلیت تبدیل مشتریان بالقوه به مشتریان بالفعلارتباط با مشتریان، اخذ سفارش طبق تور ویزیت، پیگیری درخواست‌هاانجام کلیه فرایند فروش و سفارش‌گیری - اعتبار سنجیهماهنگی جهت صدور پیش فاکتور و فاکتور، اخذ اسناد و مستندات و ارسال بارتهیه گزارشات تحلیلی فروش کلی/جزئیثبت و بایگانی اطلاعات مشتریانآشنایی با محصول:شرکت تولید کننده تنباکو معسل با مواد اولیه وارداتی و فناوری نوینحق امتیاز و شرایط فروش مطلوبسایر مزایا:بیمه تامین اجتماعی و درمان تکمیلی(بدون کسر از حقوق) از روز اول شروع به کارپرداخت حقوق 28 هر ماهجبران خدمات به تناسب شایستگی فردشفافیت در شرح وظایف فردپرداخت حقوق و پاداش به تناسب شایستگی فردتیم حقوقی جهت ارائه مشاوره رایگان به همکاران جزء بدیهی‌ترین امتیازها به حساب می‌آیدفراهم بودن مسیر رشد و ارتقاء جایگاه شغلی برای همکاران حرفه‌ای به دلیل پویا بودن چارت سازمانی این مجموعه شرکت‌ها میسر می‌باشد,سمیر تجارت شمس,https://jobvision.ir/jobs/724396/استخدام-کارشناس-فروش-تلفنی---خانم?row=354&pageSize=30&searchId=384999731861758928&score=2.91&ReferrerJobPosition=8,,jobvision,امروز,تهران، باغ صبا - سهروردی
انباردار - آقا,مدرک تحصیلی: حداقل دیپلمتوانایی کار با کامپیوتردارا بودن گواهینامه رانندگی و وسیله نقلیهدارا بودن کارت پایان خدمتافراد دارای وسایل نقلیه (به خصوص موتور) در اولویت قرار می گیرند,ایران نارا,https://jobvision.ir/jobs/728360/استخدام-انباردار---آقا?row=355&pageSize=30&searchId=384999731861758928&score=2.89&ReferrerJobPosition=8,,jobvision,امروز,اصفهان
کارشناس شیرپوینت (Microsoft SharePoint),شرایط احراز:توانائی انجام کلیه کارهای پشتیبانی شیرپوینتآشنایی با تحلیل کسب و کارتسلط نسبی به کار با Nintex WorkFlowتسلط نسبی به طراحی فرم ها با BPC Form و Infopathآشنائی با Power BI مزیت محسوب می شود,گلپخش اول,https://jobvision.ir/jobs/609022/استخدام-کارشناس-شیرپوینت-microsoft-sharepoint?row=356&pageSize=30&searchId=384999731861758928&score=2.82&ReferrerJobPosition=8,,jobvision,امروز,تهران، ونک
کارشناس فروش - خانم,توانایی مذاکره و پیگیری تا حصول نتیجه و ارائه گزارشات مربوطهبه دنبال توسعه مسیر شغلی و تخصصی در مهارت های فروشبا انگیزه، فعال، پیگیر و دارای روحیه کار تیمیآشنایی با مدل مذاکره تلفنی و فروش B2Bبرقراری ارتباط موثر با مشتریتوانایی در حل تعارضتوانایی کار گروهیدارای فن بیان بالا و مسئولیت پذیرآشنایی به نرم افزارهای حسابداریآشنایی با نرم افزار CRM,پایدار پلیمر اوژن,https://jobvision.ir/jobs/635698/استخدام-کارشناس-فروش---خانم?row=357&pageSize=30&searchId=384999731861758928&score=2.77&ReferrerJobPosition=8,,jobvision,امروز,تهران، شهرک صنعتی شمس آباد
کارشناس نقشه کشی صنعتی - خانم,نقشه کشی 2D در نرم افزار اتوکدنقشه کشی 2D و 3D در نرم افزار سالیدنقشه کشی 2D و 3D در نرم افزار کتیامسلط به مجموعه نرم افزار های آفیسنقشه کشی، خرید مواد خام، صدور فاکتور و امور حسابداری (به صورت جزئی),شرکت تجهیز بومی گستران پویان,https://jobvision.ir/jobs/732635/استخدام-کارشناس-نقشه-کشی-صنعتی---خانم?row=358&pageSize=30&searchId=384999731861758928&score=2.74&ReferrerJobPosition=8,,jobvision,امروز,ری
تراشکار - آقا,تراشکار تراشکار CNC,آذین فولاد,https://jobvision.ir/jobs/735520/استخدام-تراشکار---آقا?row=359&pageSize=30&searchId=384999731861758928&score=2.74&ReferrerJobPosition=8,,jobvision,امروز,کوهپایه
تکنسین فنی (وایرینگ کار) - آقا,وایرینگ کارسابقه کار مونتاژ تابلو برقآشنا با تابلو برق و قطعات داخلی و کارکرد آن هاآشنا به نقشه خوانی تابلو برق,میهن تابلوفجر,https://jobvision.ir/jobs/729413/استخدام-تکنسین-فنی-وایرینگ-کار---آقا?row=360&pageSize=30&searchId=384999731861758928&score=2.73&ReferrerJobPosition=8,,jobvision,امروز,پرند
کارشناس برنامه ریزی فروش,تعریف شغل: نظارت بر تهیه و توزیع گزارشات فروش دوره ای به جهت کنترل فرآیند فروش، میزان تحقق فروش بر مبنای تارگت مصوب، هماهنگی، همکاری و کنترل برنامه های بازاریابیمهارتها و توانایی هاتسلط بر نرم افزار اکسل و پاور پوینتارتباطات و تبادل اطلاعات مورد نیاز برای فروش با• تسلط بر تکنیک های تسهیم و کنترل فروش و تارگت ها• تسلط بر مفاهیم داده ها و آمار فروش• درک روندهای فروش و پتانسیل های فروش، تحلیل اطلاعات فروش و انجام فرآیند پیش بینی فروش• آشنائی با تکنیکهای جمع آوری و آنالیز اطلاعات• تسلط به تکنیک های سنجش میزان اثربخشی و پیشرفت استراتژی ها• تسلط بر طراحی و تهیه گزارشات آماری و تحلیلی• توانایی انجام کار تیمی• آشنایی با مفاهیم بازاریابی• همکاری در اجرای طرحهای بازاریابی و تحقیقات بازار• آشنا به روش ها و گردش کار فعالیت ها در سازمان,بازارگان کالا,https://jobvision.ir/jobs/715541/استخدام-کارشناس-برنامه-ریزی-فروش?row=361&pageSize=30&searchId=384999738008764015&score=2.67&ReferrerJobPosition=8,,jobvision,امروز,تهران، آرارات
تکنسین تعمیرات و نگهداری - آقا,تکنسین تعمیرات نگهداری آشنا به دستگاه های پرس و ابزار های تولیدی صنعتیبیمه از روز اول کاریپرداخت وام قرض الحسنهسرویس رفت و برگشت از تهران و حومه,شیرآلات رفیع نوین,https://jobvision.ir/jobs/725497/استخدام-تکنسین-تعمیرات-و-نگهداری---آقا?row=362&pageSize=30&searchId=384999738008764015&score=2.62&ReferrerJobPosition=8,,jobvision,امروز,قیامدشت
تراشکار - آقا,تراشکار ماهر و نیمه ماهر,سازمانی فعال در حوزه تولیدی / صنعتی,https://jobvision.ir/jobs/736105/استخدام-تراشکار---آقا?row=363&pageSize=30&searchId=384999738008764015&score=2.53&ReferrerJobPosition=8,,jobvision,امروز,شهرک صنعتی لیا
بازاریاب و ویزیتور,شرایط احراز :با ظاهری آراستهمنظم و تمیزبا کلاس و خوش پوشبا پرستیژ مودبحداقل سواد سیکلجهت فروش یک سری مواد خوراکی و الخصوص تنقلات و خرید میوه جات، صیفی‌جات و ...,پترو ساز گل مریم,https://jobvision.ir/jobs/735677/استخدام-بازاریاب-و-ویزیتور?row=364&pageSize=30&searchId=384999738008764015&score=2.41&ReferrerJobPosition=8,,jobvision,امروز,تهران، سعادت آباد
کارشناس سیستم ها و روش ها - آقا,شرح وظایف:تدوین مستندات سیستم مدیریت، آیین نامه ها، روش های اجرایی، فرآیندها و فرم های مورد نیاز سازمانکنترل مستندات و نظارت بر جاری سازی در سازمان و دقت نظر در به روزآوری و نگهداشت آن.تدوین شاخص­های عملکردی، تجزیه و تحلیل نتایجشرایط احراز:آشنایی با برنامه ریزی استراتژیکآشنایی با اصول مدیریت ریسکتسلط بر استانداردها و سیستم های مدیریت کیفیت(ISO9001) و سیستم مدیریت ایمنی و بهداشت شغلی (ISO45001)آشنایی با اصول ممیزی سیستم‌های مدیریتیتسلط کار با نرم افزارهای Officeامکان انجام ماموریت خارج از تهران,گلپخش اول,https://jobvision.ir/jobs/718878/استخدام-کارشناس-سیستم-ها-و-روش-ها---آقا?row=365&pageSize=30&searchId=384999738008764015&score=2.33&ReferrerJobPosition=8,,jobvision,امروز,تهران، ونک
کارمند فروش - خانم,شرایط لازم :روابط عمومی بالا و فن بیان قویداشتن انگیزه بالا جهت پیشرفت و علاقمند به یادگیری و بهبود مستمرداشتن توانایی یادگیری سریع و علاقه‌مندبودن به کار فروش و بازاریابیآشنایی با کامپیوتر و اینترنت آشنایی با آفیسپیگیری فروش از ثبت سفارش تا لحظه تحویل به مشتری و سنجش رضایت مشتریان و ارتباط مستمر با ایشان,توسعه فن آوری پارسیان پرداز,https://jobvision.ir/jobs/733336/استخدام-کارمند-فروش---خانم?row=366&pageSize=30&searchId=384999738008764015&score=2.18&ReferrerJobPosition=8,,jobvision,امروز,تهران، فاطمی
کارمند فروش و بازاریابی,بازاریابی و فروش (نلفنی و حضوری)شرح وظایف :داشتن اشتیاق و انگیزهتماس با مشتریان و دریافت سفارشاتارسال پیشنهاد قیمت به مشتریان و پیگیریتوانایی ها :کار با نرم افزارهای آفیس اکسل و پاور پوینتتهیه و ارائه گزارشات هفتگی کار با نرم افزار ERPداشتن دانش کافی در زبان انگلیسی مزیت محسوب می شودداشتن روحیه انعطاف پذیر و مقید به اصول رفتار سازمانی,شرکت رادان صنعت آریا,https://jobvision.ir/jobs/724389/استخدام-کارمند-فروش-و-بازاریابی?row=367&pageSize=30&searchId=384999738008764015&score=2.15&ReferrerJobPosition=8,,jobvision,امروز,تهران، سهروردی
تکنسین نصب و راه اندازی (RO) - آقا,حداقل 2 سال سابقه کاری در زمینه نصب و راه اندازی ROآشنایی با صنعت آب و فاضلابآشنایی با لوله و اتصالات - پایپینگ - استیل - UPVC - چسب کاریآشنایی با مونتاژ ROمحل کار پالایشگاه نفت تهران (شهیدتندگویان) می باشد.,آبسان زلال,https://jobvision.ir/jobs/707780/استخدام-تکنسین-نصب-و-راه-اندازی-ro---آقا?row=368&pageSize=30&searchId=384999738008764015&score=2.04&ReferrerJobPosition=8,,jobvision,امروز,باقر شهر
کارشناس وردپرس (wordpress),"شرح شغل و وظایفشرکت همتا صنعت ویرا جهت تکمیل کادر پرسنلی خود اقدام به جذب نیرو در زمینه برنامه نویسی ( ورد پرس ) می نماید.ب) برنامه نویس ( وردپرس ) خانم داراش شرایط زیرقدرت حل مسئله بسیار بالامسلط به کتابخانه های وردپرسآشنایی کافی به زبان برنامه نویسی PHPآشنایی کافی با MYSQLتسلط به HTML ، CSS و JavaScriptتسلط به مفاهیم API مانند SOAP , NUSOAP , RESTFULL و Swaggerترجیحا تسلط به توسعه BackEnd در وردپرسترجیحا تسلط توسعه FrontEnd در وردپرستوسعه افزونه و قالب برای وردپرسقدرت خطایابی و رفع خطاهای رایج در وردپرستسلط کافی به زبان انگلیسی - خواندن و نوشتنآشنایی با مفاهیم زیر ساختی سئوسابقه کاری مرتبطداشتن موراد زیر مزیت محسوب می گردد .شخصیت نرم و منعطفقدرت حل مسئلهتوانایی سرچ بالاتوانایی انجام کار تیمینظم و برنامه ریزیقدرت انتقال مضامین و مفاهیم ذهنی به دیگرانروحیه شرکت پذیری بالا",همتا صنعت ویرا,https://jobvision.ir/jobs/690084/استخدام-کارشناس-وردپرس-wordpress?row=369&pageSize=30&searchId=384999738008764015&score=1.67&ReferrerJobPosition=8,,jobvision,امروز,تهران، قلهک
